id,order_id,product_id,quantity,price,product_name,variant_info,created_at,selected_color,selected_condition,purchase_type
104,56,131,1,23400.00,B79 - CORBATA LED X 12 UNI,null,2026-03-24 00:34:33.698475+00,MULTICOLOR,unidad,unidad
105,56,99,2,16300.00,B14 COLLAR LED X 12 UNI,null,2026-03-24 00:34:33.698475+00,MULTICOLOR,unidad,unidad
106,56,16,3,7200.00,(B3) PULSERA LED X 12 UNI,null,2026-03-24 00:34:33.698475+00,MULTICOLOR,unidad,unidad
107,56,32,1,13600.00,(B-15-2)GLOBO LED - BLANCO X 10 UNI,null,2026-03-24 00:34:33.698475+00,BLANCO FRIO,unidad,unidad
108,57,159,4,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-24 12:42:57.221864+00,MULTICOLOR,unidad,unidad
109,57,139,2,12400.00,(B2) LENTES LED x 12 uni,null,2026-03-24 12:42:57.221864+00,MULTICOLOR,unidad,unidad
110,57,132,1,21200.00,B58 - MOÑO LED X 12 UNI,null,2026-03-24 12:42:57.221864+00,MULTICOLOR,unidad,unidad
111,57,131,2,23400.00,B79 - CORBATA LED X 12 UNI,null,2026-03-24 12:42:57.221864+00,MULTICOLOR,unidad,unidad
112,58,139,1,12400.00,(B2) LENTES LED x 12 uni,null,2026-03-24 16:10:45.020008+00,MULTICOLOR,unidad,unidad
113,58,99,1,16300.00,B14 COLLAR LED X 12 UNI,null,2026-03-24 16:10:45.020008+00,MULTICOLOR,unidad,unidad
114,58,15,1,13300.00,(B49) VARITA LED X 12 UNI,null,2026-03-24 16:10:45.020008+00,MULTICOLOR,unidad,unidad
115,59,165,1,98700.00,(B106-2) COMBO LED MIXTO DE 80 ARTICULOS,null,2026-03-26 10:17:39.577206+00,COMBO COMPLETO,unidad,unidad
116,60,173,1,127000.00,"LUZ LED NEON CON FUENTE X 10 UNI ",null,2026-03-27 22:44:49.015821+00,ROJO,unidad,unidad
117,60,173,1,127000.00,"LUZ LED NEON CON FUENTE X 10 UNI ",null,2026-03-27 22:44:49.015821+00,VERDE,unidad,unidad
118,60,172,1,267000.00,(B106-9) COMBO LED MIXTO C/ SOMBRERO DE 201 ARTICULOS,null,2026-03-27 22:44:49.015821+00,COMBO CON SOMBRERO ROSA,unidad,unidad
119,60,155,2,28000.00,(L20-2) SACAPUNTAS DOBLE X 24 UNI,null,2026-03-27 22:44:49.015821+00,COLORES SURTIDOS,unidad,unidad
120,60,159,2,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-27 22:44:49.015821+00,BLANCO,unidad,unidad
121,60,130,1,13800.00,(A15-4) LED NEON CON FUENTE X 5M - BLANCO FRIO,null,2026-03-27 22:44:49.015821+00,BLANCO FRIO,unidad,unidad
122,60,127,1,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-27 22:44:49.015821+00,LILA,unidad,unidad
123,60,101,2,8000.00,B103 - SOMBRERO CON LENTEJUELAS LED,null,2026-03-27 22:44:49.015821+00,BLANCO,unidad,unidad
124,61,172,1,267000.00,(B106-9) COMBO LED MIXTO C/ SOMBRERO DE 201 ARTICULOS,null,2026-03-27 23:02:38.273524+00,COMBO CON SOMBRERO NEGRO,unidad,unidad
125,61,170,1,133700.00,(B106-7) COMBO LED C/ SOMBRERO DE 101 ARTICULOS,null,2026-03-27 23:02:38.273524+00,COMBO CON SOMBRERO BLANCO,unidad,unidad
126,61,159,2,11900.00,(B4) CORONA DE FLORES LED X 10 UNI,null,2026-03-27 23:02:38.273524+00,ROSA,unidad,unidad
127,61,135,2,2000.00,B38 - 1 TOPPER,null,2026-03-27 23:02:38.273524+00,ROSA,unidad,unidad
128,61,142,2,67500.00,(B48-2) ALAS LED - BLANCA,null,2026-03-27 23:02:38.273524+00,BLANCO,unidad,unidad
129,61,127,2,3500.00,L15-1 - CARPETA Nº 5,null,2026-03-27 23:02:38.273524+00,LILA,unidad,unidad
